Diploma notu dönüşüm tablosu:
dörtlük sistem: 2.73, yüzlük sistem 70.36, yüzlük sistem
dörtlük sistem: 2.72, yüzlük sistem 70.13, yüzlük sistem
dörtlük sistem: 2.71, yüzlük sistem 69.90, yüzlük sistem
dörtlük sistem: 2.7, yüzlük sistem 69.66, yüzlük sistem
dörtlük sistem: 2.69, yüzlük sistem 69.43, yüzlük sistem
dörtlük sistem: 2.68, yüzlük sistem 69.20, yüzlük sistem
dörtlük sistem: 2.67, yüzlük sistem 68.96, yüzlük sistem
dörtlük sistem: 2.66, yüzlük sistem 68.73, yüzlük sistem
dörtlük sistem: 2.65, yüzlük sistem 68.50, yüzlük sistem
dörtlük sistem: 2.64, yüzlük sistem 68.26, yüzlük sistem
dörtlük sistem: 2.63, yüzlük sistem 68.03, yüzlük sistem
dörtlük sistem: 2.62, yüzlük sistem 67.80, yüzlük sistem
dörtlük sistem: 2.61, yüzlük sistem 67.56, yüzlük sistem
dörtlük sistem: 2.6, yüzlük sistem 67.33, yüzlük sistem
dörtlük sistem: 2.59, yüzlük sistem 67.10, yüzlük sistem
dörtlük sistem: 2.58, yüzlük sistem 66.86, yüzlük sistem
dörtlük sistem: 2.57, yüzlük sistem 66.63, yüzlük sistem
dörtlük sistem: 2.56, yüzlük sistem 66.40, yüzlük sistem
dörtlük sistem: 2.55, yüzlük sistem 66.16, yüzlük sistem
dörtlük sistem: 2.54, yüzlük sistem 65.93, yüzlük sistem
dörtlük sistem: 2.53, yüzlük sistem 65.70, yüzlük sistem
dörtlük sistem: 2.52, yüzlük sistem 65.46, yüzlük sistem
dörtlük sistem: 2.51, yüzlük sistem 65.23, yüzlük sistem
dörtlük sistem: 2.5, yüzlük sistem 65, yüzlük sistem
dörtlük sistem: 2.49, yüzlük sistem 64.76, yüzlük sistem
dörtlük sistem: 2.48, yüzlük sistem 64.53, yüzlük sistem
dörtlük sistem: 2.47, yüzlük sistem 64.30, yüzlük sistem
dörtlük sistem: 2.46, yüzlük sistem 64.06, yüzlük sistem
dörtlük sistem: 2.45, yüzlük sistem 63.83, yüzlük sistem
dörtlük sistem: 2.44, yüzlük sistem 63.60, yüzlük sistem
dörtlük sistem: 2.43, yüzlük sistem 63.36, yüzlük sistem
dörtlük sistem: 2.42, yüzlük sistem 63.13, yüzlük sistem
dörtlük sistem: 2.41, yüzlük sistem 62.90, yüzlük sistem
dörtlük sistem: 2.4, yüzlük sistem 62.66, yüzlük sistem
dörtlük sistem: 2.39, yüzlük sistem 62.43, yüzlük sistem
dörtlük sistem: 2.38, yüzlük sistem 62.20, yüzlük sistem
